CIO,,BAESystems,,Entertainment,,EthnicMinorityStudies,,JamesMadisonUniversity,,DungeonsandDragonsClub
CTO,,BancoBilbaoVizcayaArgentaria,,Environment,,Fashion,,JohnsHopkinsUniversity,,GamersClub
CMO,,BancoBradesco,,Farming,,FilmandVideo,,KansasStateUniversity,,LARPing
CHRO,,BancodoBrasil,,fashion,,Finance,,KentStateUniversity,,RenaissanceFaires
CDO,,BancoSantander,,Finance,,finearts,,LamarUniversity,,BoyScouts
CPO,,BankofAmericaCorp,,FoodBeverage,,FoodScience,,LehighUniversity,,ChessClub
CCO,,BankofChina,,ForeignPolicy,,ForestScience,,LibertyUniversity,,EquestrianClub
TeamLeader,,BankofCommunications,,Forest,,ForestTechnology,,LouisianaStateUniversity,,EntrepreneurshipClub
Manager,,BankofNovaScotia,,Foundation,,GeneralScience,,LoyolaUniversityChicago,,GirlScouts
AssistantManager,,Barclays,,FuneralServices,,genetics,,McGillUniversity,,DebateClub
Executive,,BASF,,furniture,,Geography,,McMasterUniversity,,baseball
Director,,Bayer,,Gambling,,Geosciences,,MemorialUniversityofNewfoundland,,softball
Coordinator,,BeijingAutomotiveGroup,,GeneralContractors,,GraphicDesign,,MichiganTechnologicalUniversity,,Basketball
Administrator,,BerkshireHathaway,,GeneralContractors,,HealthPolicyandAdministration,,MichiganStateUniversity,,Bodybuilding
Controller,,BestBuy,,Government,,Healthscience,,MississippiStateUniversity,,Cheerleading
Officer,,BharatPetroleum,,Government Employees,,History,,MontanaStateUniversity,,ClimbingClub
Organizer,,BHPBilliton,,Health,,Horticulture,,NewMexicoStateUniversity,,Cycling
Supervisor,,BMWGroup,,healthcare,,HotelRestaurantandInstitutionalManagement,,NewYorkUniversity,,DanceTeam
Superintendent,,BNPParibas,,healthservices,,HumanDevelopmentandFamilyStudies,,NorthCarolinaStateUniversity,,Fencing
Head,,BoehringerIngelheim,,HedgeFunds,,Individualand FamilyStudies,,NortheasternUniversity,,Football
Overseer,,Boeing,,HMO,,IndustrialDesign,,NorthernArizonaUniversity,,Golf
Chief,,BoschGroup,,HomeBuilders,,IndustrialEngineering,,NorthernIllinoisUniversity,,Gymnastics
Foreman,,Bouygues,,Hospitality,,InformationSciencesandTechnology,,NorthwesternUniversity,,HikingClub
Controller,,BP,,Hospitals,,InteriorArchitecture,,OhioUniversity,,Hockey
Principal,,Bridgestone,,Human Rights,,InteriorDesign,,OklahomaStateUniversity,,IntramuralSports
President,,BritishAmericanTobacco,,humanrights,,Journalism,,OldDominionUniversity,,Lacrosse
Lead,,BrookfieldAssetManagement,,Insurance,,Kinesiology,,OregonStateUniversity,,MartialArts
