pets,,celebrity pets,,wild animals,,imaginary animals
,,,,,,
fish,,grumpycat,,otters,,unicorsn
cats,,lilbub,,bears,,dragons
birds,,marnie,,sharks,,
iguanas,,bo,,tigers,,
lizards,,colonelmeow,,leopards,,
dogs,,maru,,cheetahs,,
snakes,,sunny,,sharks,,
spiders,,missbeazley,,sloth,,
ferrets,,orangey,,elephants,,
hamsters,,buddy,,wolves,,
horses,,liberty,,,,
rats,,spotfetcher,,,,
mice,,,,,,
pigs,,,,,,
crabs,,,,,,
lobsters,,,,,,
labradorretrievers,,,,,,
germanshepherds,,,,,,
goldenretrievers,,,,,,
bulldogs,,,,,,
beagles,,,,,,
poodles,,,,,,
rottweilers,,,,,,
yorkshireterriers,,,,,,
germanshorthairedpointers,,,,,,
boxers,,,,,,
siberianhuskies,,,,,,
dachshunds,,,,,,
greatdanes,,,,,,
pebrokewelshcorgis,,,,,,
corgis,,,,,,
dobermanpinschers,,,,,,
australianshepherds,,,,,,
miniatureschnauzers,,,,,,
cavalierkingcharlesspaniels,,,,,,
shihtzu,,,,,,
bostonterriers,,,,,,
pomeranians,,,,,,
havanese,,,,,,
shetlandsheepdogs,,,,,,
brittanys,,,,,,
mastiffs,,,,,,
cockerspaniels,,,,,,
vizslas,,,,,,
piugs,,,,,,
chihuahuas,,,,,,
maltese,,,,,,
welmaraners,,,,,,
collies,,,,,,
bordercollies,,,,,,
Persian,,,,,,
Exotic,,,,,,
MaineCoonCat,,,,,,
Ragdoll,,,,,,
BritishShorthair,,,,,,
Abyssinian,,,,,,
AmericanShorthair,,,,,,
Sphynx,,,,,,
Siamese,,,,,,
DevonRex,,,,,,
NorwegianForestCat,,,,,,
Oriental,,,,,,
ScottishFold,,,,,,
CornishRex,,,,,,
Birman,,,,,,
Burmese,,,,,,
Tonkinese,,,,,,
Siberian,,,,,,
RussianBlue,,,,,,
EgyptianMau,,,,,,
turtles,,,,,,
